tehsil,markaz,name,gender,level,category,lat,lng
KHUSHAB,JAUHARABAD NORTH (MALE),38210008 - GPS DHOK CHAPRI,Male,Primary,PSRP-I,32.469908,72.202013
KHUSHAB,RODA NORTH (MALE),38210070 - GPS DERA MUHAMMAD ALI,Male,Primary,PSRP-I,32.117401,72.212135
KHUSHAB,KATHA SAGRAL SOUTH (MALE),38210099 - GPS DERA CHAKAN,Male,Primary,PSRP-II,32.502389,72.452693
KHUSHAB,KATHA SAGRAL NORTH (MALE),38210102 - GPS CHANGA DAKHLI,Male,Primary,PSRP-I,32.6064,72.4555
KHUSHAB,KATHA SAGRAL EAST (MALE),38210110 - GPS MANGWAL,Male,Primary,SED,32.5378002,72.5681664
KHUSHAB,KATHA SAGRAL WEST (MALE),38210113 - GPS MIAN WALA NALLI,Male,Primary,PSRP-II,32.419814,72.311477
KHUSHAB,JAUHARABAD EAST (MALE),38210116 - GPS PEER WAL NARI,Male,Primary,SED,32.476729,72.408192
KHUSHAB,RODA NORTH (MALE),38210121 - GPS AWANA WALA,Male,Primary,SED,32.13183219,72.00214148
KHUSHAB,RODA SOUTH (MALE),38210122 - GPS FALAK SHER NOON,Male,Primary,PSRP-II,32.04999,72.0522
KHUSHAB,RODA NORTH (MALE),38210123 - GPS KHAKHAN WALA (ASP),Male,Primary,SED,32.06495545,72.1405039
KHUSHAB,RODA NORTH (MALE),38210124 - GPS KHAN MUHAMMAD VIRK,Male,Primary,PSRP-I,32.057065,72.182138
KHUSHAB,RODA SOUTH (MALE),38210127 - GPS MUBARAK CHANWAS,Male,Primary,SED,32.016773,72.098913
KHUSHAB,JAUHARABAD SADAR (MALE),38210129 - GPS PAK KUWAIT MILLS KHUSHAB,Male,Primary,SED,32.306847,72.248701
KHUSHAB,JAUHARABAD SADAR (MALE),38210130 - GPS RAILWAY STATION HADALI,Male,Primary,SED,32.299496,72.182599
KHUSHAB,JAUHARABAD SADAR (MALE),38210131 - GPS RAMZAN COLONY JOUHARABAD,Male,Primary,SED,32.27886,72.26396
KHUSHAB,RODA NORTH (MALE),38210135 - GPS SONA LODI,Male,Primary,PSRP-I,32.118182,72.151423
KHUSHAB,MITHA TIWANA EAST (MALE),38210136 - GPS SULTAN MEHMOOD VIRK,Male,Primary,SED,32.05379,72.16628
KHUSHAB,RODA SOUTH (MALE),38210137 - GPS ZAFAR WALA,Male,Primary,PSRP-I,32.044941,72.161074
KHUSHAB,JABBI SHARIF NORTH (MALE),38210138 - GPS BHAN CHOONI,Male,Primary,PSRP-I,32.455501,72.078351
KHUSHAB,JABBI SHARIF NORTH (MALE),38210146 - GPS PAPRALI,Male,Primary,PSRP-I,32.490721,72.1375414
KHUSHAB,MITHA TIWANA WEST (MALE),38210149 - GPS YARAN FAQIR,Male,Primary,SED,32.1283,71.99124
KHUSHAB,KHUSHAB SADAR (MALE),38210154 - GPS ALKOSAR TAJPURA,Male,Primary,SED,32.284271,72.35251
KHUSHAB,JAUHARABAD EAST (MALE),38210156 - GPS BADLI WALA,Male,Primary,SED,32.305646,72.333783
KHUSHAB,JAUHARABAD NORTH (MALE),38210157 - GPS BHARKIN,Male,Primary,PSRP-I,32.405711,72.266286
KHUSHAB,JAUHARABAD NORTH (MALE),38210159 - GPS BURJ MOHRA,Male,Primary,PSRP-I,32.4411,72.2737
KHUSHAB,KHUSHAB NORTH (MALE),38210161 - GPS CHABEEL,Male,Primary,PSRP-I,32.39227,72.39428
KHUSHAB,JAUHARABAD EAST (MALE),38210162 - GPS CHAK NO. 54 MB,Male,Primary,SED,32.354928,72.294514
KHUSHAB,JAUHARABAD NORTH (MALE),38210164 - GPS CHAPPAR SHARIF,Male,Primary,SED,32.435886,72.176807
KHUSHAB,JAUHARABAD NORTH (MALE),38210165 - GPS DERA ALI KHAN,Male,Primary,SED,32.426758,72.223705
KHUSHAB,JABBI SHARIF NORTH (MALE),38210166 - GPS DERA ALLAH YAR,Male,Primary,PSRP-I,32.359059,72.182608
KHUSHAB,KHUSHAB NORTH (MALE),38210168 - GPS DERA BAHADUR KHAN (ASP),Male,Primary,SED,32.400532,72.410095
